Year,All Cyclones (>=34 kts) - East Coast - WB,All Cyclones (>=34 kts) - East Coast - OD,All Cyclones (>=34 kts) - East Coast - AP,All Cyclones (>=34 kts) - East Coast - TN,All Cyclones (>=34 kts) - West Coast - GJ,All Cyclones (>=34 kts) - West Coast - MH/GA,All Cyclones (>=34 kts) - West Coast - KK,All Cyclones (>=34 kts) - West Coast - KR,Severe Cyclonic Storm (>=47 kts) - East Coast - WB,Severe Cyclonic Storm (>=47 kts) - East Coast - OD,Severe Cyclonic Storm (>=47 kts) - East Coast - AP,Severe Cyclonic Storm (>=47 kts) - East Coast - TN,Severe Cyclonic Storm (>=47 kts) - West Coast - GJ,Severe Cyclonic Storm (>=47 kts) - West Coast - MH/GA,Severe Cyclonic Storm (>=47 kts) - West Coast - KK,Severe Cyclonic Storm (>=47 kts) - West Coast - KR
1891,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1892,0,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0
1893,0,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0
1894,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1895,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1896,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1897,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1898,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1899,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1900,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1901,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1902,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1904,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1905,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0
1907,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1909,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1910,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1911,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1912,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1913,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1914,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1915,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1917,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1919,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1920,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1921,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1922,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1925,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
1926,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
